 5-1. 노선별 가로등 시설현황(시도),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ [(형태 : 마주보기-A, 지그재그-B, 한쪽-C, 중앙-D) (등주type : 원형-R, 팔각-E, STS-S, AL-A,) (표기 예시)알미늄재질원형 10m Y주 암2.5m=AR10Y-25 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 설치년도,광원,용량,형태,배전방식,등주타입 등이 다를때에는 다음 칸을 이용(같은 칸에서 Alt Enter 키 이용금지)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 도로연장은 편측설치, 양측설치를 구분하고 실제 도로연장만 기재(가로등 설치연장 자동계산 됨)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ○ 교량하부등은 각종 하부통과도로 상에 있는 조명을 뜻하며 교량점검용 조명은 제외할 것 ,,,,,,,,,,,,," 6,756 ","1,205 "," 7,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도로
구분","노선
번호",노선명,구 간,"노폭
(m)",도로연장(m),,"가로등
설치연장","설치
년도","조도
(lx)","경간
(m)",형태,"선로
배전
방식", 차도등 ,,,,보행등,,,"육교수
(개소)
/
등수",,,,교량하부등,,,터널등,,,,,지하(보)차도등,,,,,지하보도등,,,경관조명,,,"분전함
(수량)",비고
,,,,,편측,양측,,,,,,,등주type,본수,광원,등수,본수,광원,등수,"육교
(개소)",본수,광원,등수,"하부
(개소)",광원,등수,"터널
(개소)", 차도등 ,, 보행등 ,,"차도
(개소)", 차도등 ,, 보도등 ,,"보도
(개소)",광원,등수,"설치
(개소)",광원,등수,,
,,,,,,,(편+양×2),,,,,,,,,,,,,,,,,,,,,광원,등수,광원,등수,,광원,등수,광원,등수,,,,,,,,
,,송파대로,잠실역~석촌호수로(중앙버스),50 ,,,0 ,2017 ,30,25,D,2,R10Y-25, 19 , LED150 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로,50 ,,,0 ,2018 ,19,30,A,2,R10-25, 85 , LED150 , 85 ,,LED50, 90 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로,50 ,,,0 ,2018 ,19,30,A,2,R10Y-25, 8 , LED150 , 16 ,,LED50, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리,50 ,,,0 ,2018 ,25,30,,2,E15-교차8, 2 , LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,   
,,송파대로,석촌역,50 ,,,0 ,2018 ,25,30,,2,신호등통합폴,, LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로(중앙버스),50 ,,,0 ,2018 , 19 , 25 , C ,2,R5Y-10, 18 , LED150 , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2018 등기구교체 
,,송파대로,송파사거리~석촌호수로(중앙버스),50 ,,,0 ,2018 , 19 , 25 , C ,2,R10Y-20, 6 , LED150 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2018 등기구교체 
,,송파대로,복정역(장지치안센터 앞),50 ,,,0 ,2018 ,25,30,,2,R10Y-25, 1 ,LED150, 2 ,,LED50, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,석촌역,50 ,,,0 ,2018 ,25,30,,2,SE10-교차4, 4 ,LED200, 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 통합폴 
,,송파대로,복정역~장지교교차로,50 ,,,0 ,2018 ,19,30,A,2,R10-25, 4 , LED150 , 4 ,,LED50, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
